Date,CreativeID,Time Zone,MarketCode,MarketName,Network,Station,Program Aired,Air Type,CreativeID,CreativeName,CreativeLength,Spend
11/28/2019,12:21 AM,Local,2270,Davenport-Rock Island-Moline-Q,BBGRS,K G C W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:21 AM,Local,2780,Fresno-Visalia                ,BBGRS,K A I L - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:21 AM,Local,2950,Green Bay-Appleton            ,BBGRS,W A C Y - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:21 AM,Local,3620,Little Rock                   ,BBGRS,K A R Z - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:21 AM,Local,5230,San Francisco-Oakland-San Jose,BBGRS,K B C W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:21 AM,Local,5810,Tulsa                         ,BBGRS,K M Y T - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:21 AM,Local,6070,Wilkes Barre-Scranton         ,BBGRS,W S W B - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:23 AM,Local,1900,Charlotte                     ,BBGRS,W A X N - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,1200,Austin                        ,BBGRS,K N V A - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,2280,Dayton                        ,BBGRS,W B D T - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,2780,Fresno-Visalia                ,BBGRS,K A I L - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,2950,Green Bay-Appleton            ,BBGRS,W A C Y - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,3620,Little Rock                   ,BBGRS,K A R Z - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,4240,Nashville                     ,BBGRS,W N A B - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,4630,Philadelphia                  ,BBGRS,W P S G - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,5140,San Antonio                   ,BBGRS,K M Y S - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,5650,Tampa-St. Petersburg          ,BBGRS,W M O R -T V                  ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,6070,Wilkes Barre-Scranton         ,BBGRS,W S W B - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:52 AM,Local,1950,Chicago                       ,BBGRS,W C I U - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:52 AM,Local,3370,Kansas City                   ,BBGRS,K M C I - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:53 AM,Local,5400,Seattle-Tacoma                ,BBGRS,K S T W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:54 AM,Local,1900,Charlotte                     ,BBGRS,W A X N - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:20 AM,Local,4560,Paducah-Cape Girardeau-Harrisb,BBGRS,W D K A - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:21 AM,Local,1200,Austin                        ,BBGRS,K N V A - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:21 AM,Local,1700,Boston                        ,BBGRS,W L V I - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:21 AM,Local,3960,Miami-Ft. Lauderdale          ,BBGRS,W B F S - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:21 AM,Local,5230,San Francisco-Oakland-San Jose,BBGRS,K B C W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:21 AM,Local,5520,Champaign & Springfield-Decatu,BBGRS,W B U I - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:21 AM,Local,5650,Tampa-St. Petersburg          ,BBGRS,W M O R -T V                  ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:22 AM,Local,3370,Kansas City                   ,BBGRS,K M C I - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:50 AM,Local,1020,Albany-Schenectady-Troy       ,BBGRS,W N Y A - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,1180,Atlanta                       ,BBGRS,W U P A - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,1700,Boston                        ,BBGRS,W L V I - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,1880,Charleston-Huntington         ,BBGRS,W Q C W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,2220,Dallas-Ft. Worth              ,BBGRS,K D A F - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,3960,Miami-Ft. Lauderdale          ,BBGRS,W B F S - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,4090,Mobile-Pensacola              ,BBGRS,W J T C - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,4560,Paducah-Cape Girardeau-Harrisb,BBGRS,W D K A - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,4720,"Portland-Auburn, ME           ",BBGRS,W P X T - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,4830,Raleigh-Durham                ,BBGRS,W R D C - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:52 AM,Local,1050,Albuquerque                   ,BBGRS,K A S Y - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:56 AM,Local,2310,Denver                        ,BBGRS,K W G N - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:20 AM,Local,1020,Albany-Schenectady-Troy       ,BBGRS,W N Y A - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:21 AM,Local,1440,Baltimore                     ,BBGRS,W N U V - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:21 AM,Local,1880,Charleston-Huntington         ,BBGRS,W Q C W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:21 AM,Local,2010,Cincinnati                    ,BBGRS,EKRC TV                       ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:21 AM,Local,4040,Minneapolis-St. Paul          ,BBGRS,K S T C - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:21 AM,Local,4520,Orlando-Daytona Beach-Melbourn,BBGRS,W K C F - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:21 AM,Local,4720,"Portland-Auburn, ME           ",BBGRS,W P X T - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:21 AM,Local,5630,Syracuse                      ,BBGRS,W N Y S - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:22 AM,Local,4780,Providence-New Bedford        ,BBGRS,W N A C - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:23 AM,Local,1050,Albuquerque                   ,BBGRS,K A S Y - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:51 AM,Local,1600,Birmingham                    ,BBGRS,W D B B - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:51 AM,Local,1600,Birmingham                    ,BBGRS,W T T O - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:51 AM,Local,1770,Buffalo                       ,BBGRS,W U T V - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:51 AM,Local,2010,Cincinnati                    ,BBGRS,EKRC TV                       ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:51 AM,Local,4040,Minneapolis-St. Paul          ,BBGRS,K S T C - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:51 AM,Local,4520,Orlando-Daytona Beach-Melbourn,BBGRS,W K C F - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:51 AM,Local,5630,Syracuse                      ,BBGRS,W N Y S - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:51 AM,Local,5890,Waco-Temple-Bryan             ,BBGRS,K N C T - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:55 AM,Local,2160,"Columbus, OH                  ",BBGRS,W T T E - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 3:21 AM,Local,1600,Birmingham                    ,BBGRS,W T T O - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 3:21 AM,Local,2980,Greenville-Spartanburg-Ashevil,BBGRS,W Y C W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 3:21 AM,Local,4370,New York                      ,BBGRS,W L N Y - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 3:21 AM,Local,6010,West Palm Beach-Ft. Pierce-Ver,BBGRS,W T V X - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 3:24 AM,Local,2160,"Columbus, OH                  ",BBGRS,W T T E - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 3:51 AM,Local,2980,Greenville-Spartanburg-Ashevil,BBGRS,W Y C W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 3:51 AM,Local,4370,New York                      ,BBGRS,W L N Y - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 3:51 AM,Local,4630,Philadelphia                  ,BBGRS,W P S G - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 4:51 AM,Local,1770,Buffalo                       ,BBGRS,W N Y O - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:51 AM,Local,4240,Nashville                     ,BBGRS,W N A B - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,850
11/28/2019, 7:12 AM,Local,4970,Rochester-Mason City-Austin   ,EXP2 ,K X L T - T V                 ,XPLORATION WEIRD BUT TRUE     ,Syndication                   ,RRFALL30E2H  ,TRR_30_TVC_FALL_HERO                                        ,30,1360
11/28/2019, 7:13 AM,Local,3210,Huntsville-Decatur-Florence   ,EXP2 ,W Z D X - T V                 ,XPLORATION WEIRD BUT TRUE     ,Syndication                   ,RRFALL30E2H  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 7:13 AM,Local,4090,Mobile-Pensacola              ,EXP2 ,W J T C - T V                 ,XPLORATION DIY SCI            ,Syndication                   ,RRFALL30E2H  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 7:13 AM,Local,4580,Panama City                   ,EXP2 ,W P G X - T V                 ,XPLORATION WEIRD BUT TRUE     ,Syndication                   ,RRFALL30E2H  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 8:13 AM,Local,1690,Boise                         ,EXP2 ,K N I N - T V                 ,XPLORATION WEIRD BUT TRUE     ,Syndication                   ,RRFALL30E2H  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 8:13 AM,Local,6030,Wichita-Hutchinson            ,EXP2 ,K A A S - T V                 ,XPLORATION WEIRD BUT TRUE     ,Syndication                   ,RRFALL30E2H  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 8:13 AM,Local,6030,Wichita-Hutchinson            ,EXP2 ,K O C W - T V                 ,XPLORATION WEIRD BUT TRUE     ,Syndication                   ,RRFALL30E2H  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 8:13 AM,Local,6030,Wichita-Hutchinson            ,EXP2 ,K S A S - T V                 ,XPLORATION WEIRD BUT TRUE     ,Syndication                   ,RRFALL30E2H  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 9:13 AM,Local,5850,Utica                         ,EXP2 ,W F X V - T V                 ,JACK HANNA'S ANIMAL ADVENTURES,Syndication                   ,RRFALL30E2H  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 4:22 PM,Local,4050,Minot-Bismarck-Dickinson-Glend,BBGRS,K X M A - T V                 ,JUDGE JERRY                   ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 4:52 PM,Local,4050,Minot-Bismarck-Dickinson-Glend,BBGRS,K X M A - T V                 ,JUDGE JERRY                   ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:13 PM,Local,5420,Shreveport-Texarkana          ,EXP2 ,K M S S - T V                 ,XPLORATION NATURE KNOWS BEST  ,Syndication                   ,RRFALL30E2H  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:22 PM,Local,2400,Duluth-Superior               ,BBGRS,K D L H - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:22 PM,Local,3140,Houston                       ,BBGRS,K U B E - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:22 PM,Local,3750,Lubbock                       ,BBGRS,K L C W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:22 PM,Local,3860,Harlingen-Wslco-Brownsville-Mc,BBGRS,X R I O - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:22 PM,Local,4050,Minot-Bismarck-Dickinson-Glend,BBGRS,K X M A - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:22 PM,Local,4190,Montgomery-Selma              ,BBGRS,W B M M - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:23 PM,Local,4050,Minot-Bismarck-Dickinson-Glend,BBGRS,K X M A - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:51 PM,Local,6030,Wichita-Hutchinson            ,BBGRS,K M T W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:52 PM,Local,2400,Duluth-Superior               ,BBGRS,K D L H - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:52 PM,Local,3140,Houston                       ,BBGRS,K U B E - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 5:52 PM,Local,3750,Lubbock                       ,BBGRS,K L C W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
