Row Labels,Sum of Spend,,
AMC,19694.5,AMC,19690
MSNBC,13600,MSNBC,13600
ENT,12359,E!,12254
CNN,11517.5,CNN,11516
PAR,11262.5,Paramount Network,11260
TBSC,10795,TBS,10790
LMN,9180,Lifetime Movies,9176
USA,7820,USA Network,7820
BET,7288.75,BET,7288
TRU,5185,truTV,5185
HLN,5049,HLN,5049
HMM,4590,Hallmark Movies & Mysteries,4590
VH1,4207.5,VH1,4206
RLZC,4033.25,REELZChannel,4027
IFC,3446.75,IFC,3435
BRVO,3060,Bravo,3060
NBCAS,2550,,
TNT,2125,TNT,2120
ID,1551.25,Investigation Discovery,1550
ESP2,850,ESPN2,850
NGC,701.25,National Geographic,693
MTV,680,MTV - Music Television,680
IDL,620.5,,
WE,331.5,WE tv,330
NMX,153,NEWSMAX,152
SUND,85,SundanceTV,84
Grand Total,142736.25,,