network,spend,spend_share,impressions,impression_share,imp/spend
Fuse TV,776,1.070271016,61942,0.219195452,0.204803689
VH1,5686,7.842217778,1103616,3.90538904,0.497995484
BET Jams,150,0.206882284,69115,0.244578697,1.182211896
ABC,0,0,63227,0.223742708,0
IFC,375,0.51720571,367061,1.298926444,2.511430982
NBC,0,0,61177,0.216488331,0
Cartoon Network,2173,2.997034687,211657,0.748995056,0.249912041
Investigation Discovery,4088,5.638231846,1521606,5.384539003,0.955004893
AMC,850,1.172332943,1947788,6.892678167,5.879454476
BET Her,692,0.954416937,31113,0.110100224,0.115358624
CW,2550,3.516998828,68073,0.24089135,0.068493441
Crime + Investigation,50,0.068960761,59534,0.210674212,3.054986748
E!,6620,9.1304048,1498596,5.303113034,0.580819049
WE tv,882,1.21646783,679377,2.404125611,1.976316637
Bravo,6181,8.524929315,5657910,20.02176455,2.348613555
HLN,4714,6.501620578,1506310,5.330410727,0.819858782
National Geographic,588,0.810978553,549781,1.945521533,2.398980251
Oxygen,3625,4.999655196,2331012,8.248800957,1.649873968
Univision,8330,11.48886284,448869,1.588422126,0.138257559
Hallmark Movies & Mysteries,4250,5.861664713,251170,0.888820537,0.151632784
TNT,1530,2.110199297,1519225,5.376113308,2.547680362
PBS,0,0,166,5.87E-04,0
History Channel En Español,720,0.993034963,41787,0.147872532,0.148909693
MSNBC,4730,6.523688022,6032724,21.3481267,3.272401535
NEWSMAX,240,0.331011654,54934,0.194396096,0.587278705
Lifetime Real Women,580,0.799944831,28655,0.101402048,0.126761302
MyNetworkTV,2125,2.930832356,20888,0.073916803,0.025220413
Independent TV,0,0,12767,0.04517885,0
USA Network,2756,3.801117164,938835,3.322275066,0.874025957
UPtv,2720,3.751465416,81893,0.289796473,0.077248872
REELZChannel,250,0.344803807,49241,0.174250157,0.505360307
FOX,1360,1.875732708,172738,0.611271576,0.325884159
CBS,0,0,11546,0.040858072,0
Revolt,804,1.108889042,21245,0.075180126,0.0677977
SundanceTV,420,0.579270395,462349,1.636124084,2.824456589
VICELAND,1690,2.330873733,320871,1.135472924,0.48714476